log_id,task_id,member_id,date,hours_spent,note,is_deleted
1,2,4,2025-08-16,1.73,Auto-seeded,False
2,4,3,2025-08-16,0.61,Auto-seeded,False
3,2,4,2025-08-17,1.24,Auto-seeded,False
4,3,2,2025-08-17,2.23,Auto-seeded,False
5,1,1,2025-08-18,0.74,Auto-seeded,False
6,2,4,2025-08-18,1.21,Auto-seeded,False
7,1,1,2025-08-19,1.37,Auto-seeded,False
8,4,3,2025-08-19,1.16,Auto-seeded,False
9,5,5,2025-08-19,1.12,Auto-seeded,False
10,4,3,2025-08-20,0.76,Auto-seeded,False
11,5,5,2025-08-20,1.34,Auto-seeded,False
12,1,1,2025-08-21,0.75,Auto-seeded,False
13,2,4,2025-08-21,1.7,Auto-seeded,False
14,3,2,2025-08-21,2.16,Auto-seeded,False
15,1,1,2025-08-22,1.07,Auto-seeded,False
16,3,2,2025-08-22,2.2,Auto-seeded,False
17,4,3,2025-08-22,1.09,Auto-seeded,False
18,3,2,2025-08-23,1.81,Auto-seeded,False
19,4,3,2025-08-23,1.45,Auto-seeded,False
20,1,1,2025-08-24,0.5,Auto-seeded,False
21,4,3,2025-08-24,1.21,Auto-seeded,False
22,5,5,2025-08-24,0.9,Auto-seeded,False
23,1,1,2025-08-25,1.26,Auto-seeded,False
24,2,4,2025-08-25,1.12,Auto-seeded,False
25,3,2,2025-08-25,1.72,Auto-seeded,False
26,4,3,2025-08-25,1.04,Auto-seeded,False
27,1,1,2025-08-26,1.05,Auto-seeded,False
28,3,2,2025-08-26,2.14,Auto-seeded,False
29,4,3,2025-08-26,0.89,Auto-seeded,False
30,5,5,2025-08-26,0.64,Auto-seeded,False
31,1,1,2025-08-27,0.86,Auto-seeded,False
32,2,4,2025-08-27,1.64,Auto-seeded,False
33,4,3,2025-08-27,0.97,Auto-seeded,False
34,5,5,2025-08-27,0.98,Auto-seeded,False
35,1,1,2025-08-28,0.57,Auto-seeded,False
36,2,4,2025-08-28,1.2,Auto-seeded,False
37,5,5,2025-08-28,1.39,Auto-seeded,False
38,3,2,2025-08-29,1.94,Auto-seeded,False
39,4,3,2025-08-29,0.9,Auto-seeded,False
40,5,5,2025-08-29,0.48,Auto-seeded,False
41,1,1,2025-08-31,5.0,Solving Issues,False
42,14,1,2025-09-01,2.0,,False
43,1,1,2025-09-06,1.0,tryimg,False
